Name,G
$160,1
$200,10
$15b,9
$200m,4
$500m,1
alibaba,28
alwaleed,1
amazon,1
american,1
apple,1
arabian,1
backing,1
billion,7
bluetooth,1
bracelet,1
business,1
buying,1
car,1
carmaker,1
cars,1
chief,1
china,2
chinese,1
companies,1
company,4
connected,1
controlled,1
corp,1
could,1
deal,1
develop,1
development,1
entry,1
funding,1
getting,1
gives,1
group,2
holding,1
home,1
hunting,1
includes,1
insnapchat,1
internet,1
invesment,1
invest,6
investing,5
investment,5
investor,1
invests,2
key,1
know,1
messaging,3
microsoft,1
million,10
motor,1
need,1
new,2
news,1
obsession,1
officer,1
partnering,1
pay,1
pic,9
plans,1
popular,1
prince,1
raise,1
reportedly,1
reports,1
round,1
rumours,1
saic,2
said,1
saudi,1
say,1
seattle,1
seeks,1
selling,1
set,1
smart,2
snapchat,21
st,2
staff,1
start,1
state,1
strategy,1
taobao,1
things,1
today,1
turf,1
twitter,9
understanding,1
valuation,3
value,1
valued,1
values,3
video,2
want,2
watch,1
wearable,1
website,1
worth,1
