Name,G
working,1
weapon,1
wars,1
walmart,1
wall,1
wal,1
vows,1
value,1
valley,1
unilever,1
twitter,5
travel,1
tops,2
together,1
tim,1
team,2
surpasses,1
success,1
street,1
stock,1
soon,1
something,1
silicon,1
shares,1
secret,1
says,1
sales,1
said,1
richest,1
rich,1
pour,1
potential,1
pic,5
payments,2
pay,3
passes,1
partnership,4
open,1
online,1
one,1
next,2
new,2
mobile,1
millions,1
might,1
mart,1
market,2
man,1
ma,4
list,2
join,1
jack_ma,3
ipo,1
interested,1
hopes,1
hope,1
hit,1
hint,2
highs,1
high,1
founder,2
forces,1
financial,1
fell,1
é,1
drives,1
dollars,1
deal,1
could,2
cost,1
cooperating,1
cook,1
collaborators,1
china,3
chatty,1
cash,1
cap,1
banker,1
bank,1
apple,11
alibaba,20
$baba,2
&amp,1
$100,1
20%,1
