Name,G
alibaba,264
ipo,81
$baba,78
twitter,74
pic,72
debut,45
shares,43
jack_ma,35
ma,34
$92,30
price,30
trading,29
open,28
nyse,23
market,22
share,21
70,20
indicated,20
breaking,19
stock,19
$68,18
live,16
per,15
biggest,14
billion,13
day,12
first,12
today,12
data,11
know,11
reuters,11
38%,10
$91,10
$93,10
china,10
company,10
facebook,10
indication,10
percent,10
yahoo,10
$89,9
history,9
largest,9
need,9
opens,9
public,9
versus,9
world,9
chinese,8
ever,8
giant,8
higher,8
increased,8
makes,8
new,8
opening,8
tech,8
via,8
worth,8
$87,7
89,7
$90,7
big,7
things,7
york,7
$88,6
amazon,6
coverage,6
early,6
follow,6
internet,6
orders,6
record,6
start,6
wall,6
blog,5
buy,5
ceo,5
combined,5
commerce,5
dealbook,5
exchange,5
latest,5
minute,5
mln,5
news,5
offering,5
street,5
surge,5
tracking,5
updates,5
us,5
volume,5
watch,5
way,5
36,4
$80,4
$84,4
500,4
ahead,4
alibabaipo,4
bigger,4
business,4
busy,4
closed,4
companies,4
high,4
made,4
says,4
soaring,4
think,4
trade,4
value,4
video,4
36%,3
$83,3
$86,3
already,3
american,3
begins,3
cap,3
close,3
could,3
debuts,3
demand,3
dow,3
ebay,3
expected,3
forrest,3
friday,3
get,3
google,3
gump,3
heard,3
help,3
huge,3
hundreds,3
indications,3
initial,3
jump,3
make,3
making,3
massive,3
may,3
morning,3
never,3
next,3
one,3
opened,3
orange,3
placed,3
poised,3
prices,3
raising,3
rich,3
rise,3
s&amp,3
set,3
small,3
soars,3
special,3
st,3
surges,3
thousands,3
top,3
track,3
traders,3
twice,3
ve,3
vote,3
would,3
year,3
3%,2
$18,2
$21,2
38,2
40,2
$82,2
$85,2
$yhoo,2
ameritrade,2
analysis,2
approach,2
asked,2
awaiting,2
begin,2
bet,2
bizarre,2
breaks,2
bulls,2
businesses,2
capitalization,2
caps,2
ceos,2
chairman,2
change,2
changing,2
composite,2
core,2
crunchweek,2
delivers,2
despite,2
economy,2
ends,2
entrepreneurs,2
even,2
excitement,2
exclusive,2
firms,2
five,2
founder,2
funds,2
future,2
gets,2
getting,2
global,2
goes,2
group,2
hangzhou,2
hedge,2
historic,2
hit,2
hits,2
holders,2
inside,2
interactive,2
investment,2
ipos,2
less,2
levels,2
listen,2
little,2
look,2
man,2
manservant,2
many,2
mind,2
minecraft,2
missing,2
mostly,2
much,2
ny,2
paints,2
part,2
photos,2
premarket,2
priced,2
pricing,2
range,2
re,2
reason,2
reasons,2
red,2
responsible,2
retailer,2
rewind,2
richest,2
rose,2
sarah,2
scotland,2
sees,2
sell,2
sesame!,2
session,2
sets,2
seven,2
smart,2
started,2
step,2
still,2
stocks,2
story,2
success,2
surged,2
tale,2
talks,2
td,2
team,2
technology,2
tells,2
time,2
two,2
valuable,2
want,2
weigh,2
TRUE,2
5%,1
33%,1
35%,1
80%,1
89%,1
$5,1
10,1
$10,1
11,1
$13,1
15,1
22,1
25,1
$27,1
28,1
$41,1
47,1
50,1
55,1
59,1
83,1
87,1
88,1
$99,1
117,1
$150,1
$170,1
$220,1
$230,1
$231,1
