Name,G
alibaba,62
yahoo,54
stake,37
spin,26
tax,13
twitter,10
remaining,10
plan,10
pic,10
free,10
spinoff,9
taxes,8
shares,8
plans,8
breaking,7
avoid,7
spinning,6
billions,6
announces,6
$yhoo,6
mayer,5
marissa,4
credit,4
company,4
$baba,4
new,3
much,3
jump,3
ceo,3
business,3
bill,3
big,3
without,2
watch,2
unveils,2
speaks,2
sets,2
service,2
sell,2
rose,2
reveal,2
results,2
program,2
plans/22417499/,2
percent,2
moment,2
massive,2
ma,2
live,2
launches,2
jack_ma,2
hours,2
holdings,2
holding,2
financing,2
female,2
faces,2
expected,2
entrepreneurs,2
defining,2
dealbook,2
could,2
commerce,2
china,2
charlie,2
ant,2
affiliate,2
15,2
video,1
update,1
unveiled,1
typo),1
turnaround,1
time,1
swallow,1
surged,1
stuck,1
stock,1
startup,1
starboard,1
st,1
spins,1
spinco,1
spiked,1
spend,1
sites,1
set,1
separate,1
scrutiny,1
scoring,1
says,1
save,1
satisfy,1
said,1
riding,1
reveals,1
revealed,1
rest,1
reduce,1
rating,1
rallies,1
question,1
quarter,1
profits,1
powering,1
planning,1
offload,1
news,1
neutral,1
mount,1
monetize,1
mayer/22409171/,1
may,1
matters,1
listen,1
likely,1
jan,1
increase,1
imported,1
helping,1
group,1
going,1
giant,1
gains,1
future,1
fourth,1
forestall,1
food,1
firm,1
everything,1
earnings,1
dubbed,1
disclosing,1
detractors,1
details,1
data,1
currently,1
core,1
compete,1
come,1
co/vfzjy0u,1
co,1
clues,1
close,1
call,1
buys,1
beefs,1
anticipated,1
announced,1
acquisitions,1
$80m,1
(fixed,1
28,1
7%,1
6%,1
