Name,G
$0,2
7%,1
15%,1
54%,5
$1,1
$2,2
11,1
15,2
$25,3
45,2
53,1
54,3
74,2
79,1
1999,1
2013,1
$baba,10
2q,1
74b,1
9th,1
active,1
adj,1
affirm,2
alibaba,37
apartment,1
beat,2
beats,1
bigger,1
billion,5
blog,1
break,1
breaking,1
buyers,1
china,2
chinese,1
company,3
despite,2
domination,1
drop,1
earnings,14
eclipse,1
ecommerce,2
elections,1
eps,2
est,1
even,1
expectations,3
expected),1
falls,2
figures,1
first,11
forecast,1
forecasts,3
founded,1
getting,1
giant,2
global,1
going,1
group,2
growth,5
guide,1
hangzhou,1
inaugural,2
income,2
increase,4
ipo,5
jack_ma,1
jumps,2
live,2
ma,1
man,1
many,1
margins,2
mart,1
midterm,1
misses,2
nearly,1
net,4
offering,1
oil,1
paul,1
people,1
percent,5
pic,9
plans,1
post,1
posts,5
prices,1
profit,5
public,3
q3,1
quarter,2
quarterly,1
raising,1
rally,1
read,1
record,2
releases,1
report,8
reported,3
reports,2
results,5
revenue,6
richest,1
rise,1
rises,1
sales,7
second,1
shares,2
shows,1
since,7
slide,2
small,1
stories,1
strong,3
surge,1
surges,1
sweeney,1
third,1
today,1
track,1
twitter,9
valuable,1
video,2
view,1
wal,1
watch,3
world,1
worth,1
yuan,2
