Name,G
0,14
$0,2
3%,3
4%,1
5%,2
6%,1
7%,2
8%,6
9%,1
10%,2
11%,1
13%,1
15%,1
20%,2
22%,2
23%,1
25%,2
28%,1
30%,1
33%,1
34%,1
35%,1
36%,3
38%,10
40%,1
54%,7
60%,1
75%,1
80%,2
85%,1
89%,1
$1,7
$2,3
3,3
$3,1
$4,2
500%,1
$5,4
$6,1
$7,1
729%,2
$8,16
$9,19
10,8
$10,9
11,7
$12,1
12,2
$13,1
14,2
$15,15
15,9
16,2
17,5
18,3
$18,3
19,3
20,1
$20,2
$21,31
$22,1
22,1
$24,10
$25,12
25,1
$27,1
28,2
$29,1
29,2
$36,2
36,4
$37,1
38,2
40,3
$41,1
44,1
45,3
47,1
48,1
$50,7
50,1
53,1
54,3
55,1
59,1
$60,13
60,2
65,2
$66,29
$68,53
70,20
$74,1
74,2
79,1
$80,4
$82,2
$83,3
83,1
$84,4
$85,2
$86,3
$87,7
87,1
$88,6
88,1
$89,9
89,7
90,3
$90,7
$91,10
$92,34
$93,10
95,1
$99,1
100,1
$100,3
117,1
$120,1
120,1
$150,1
$155,1
$160,2
$161,6
$162,1
$163,1
$167,2
$168,3
$170,1
190,1
$200,16
$220,1
$230,1
$231,3
$248,1
271,1
273,1
275,1
280,5
$300,1
311,1
340,1
$383,4
400,1
429,1
437,1
458,1
500,10
$500,3
$575,1
580,1
588,2
$590,13
600,1
$640,1
$840,1
854,1
959,2
1970,1
1992,1
1999,2
2000,1
2005,1
2007,2
2012,1
2013,6
2014,21
2015,17
2016,8
7857,1
2-Jan,1
11-Nov,1
1419274439,1
(),1
($/£),1
($0,1
(aka,1
(ap,1
(as,1
(epa,1
(expected),1
(fixed,1
(getty),4
(including,1
(on,1
(or,1
(really),1
(via,3
(when,2
[like],1
[spoiler,1
[sponsored],1
]com,1
~$163b,1
$$$!,1
$118b,1
$129m,2
$150b,1
$15b,2
$15bn,2
$160b,3
$160m,3
$161m,1
$16b,2
$178/per,2
$1b,2
$200b,1
$200m,5
$20b,1
$20m,1
$21b,1
$225b,1
$250m,1
$255b,1
$25b,3
$25bn,4
$293b,1
$2b,2
$2bn,3
$316m,2
$350m,2
$3b,1
$404m,1
$500m,2
$50m,3
$55bn,2
$590m,5
$5b,1
$60m,1
$65b,1
$68/share,4
$80m,1
$8bn,1
$98!,1
$aapl,4
$amzn,5
$baba,227
$bwld,1
$comp,1
$fb,1
$gild,1
$msft,1
$tsla,2
$wmt,2
$yhoo,27
£4,1
05/amazon,1
100+,1
11/alibaba,1
12th,1
18th,1
1b,1
2bn,1
2q,1
300+,1
30a,1
320m,2
340k,1
3b,2
3q,1
461a,1
490a,1
4bn,1
4f2d,1
4f66,1
56m,1
5c,2
61b,1
68/share,1
70/,1
70/ads,1
74b,1
74c,1
7920488f9ae9,1
7d02,1
81c,1
8a18,1
90/share,1
90m,2
91/share,1
92/share,1
93/share,1
9587dc0af9ab,1
9a,1
9a11,1
9th,1
abbvie,1
able,6
absolutely,2
according,4
accounted,1
accounting,1
accused,1
accuses,1
achieved,1
acquire,1
acquisition,1
acquisitions,3
across,1
action,1
active,7
activity,3
ad,1
adam,1
add,1
added,2
adding,2
additional,5
address,1
adds,2
adj,2
ads,4
advertising,1
affected,1
affiliate,8
affirm,2
afraid,1
afrikaans,2
agencies,2
agency,5
agenda,1
aggressive,3
aggressively,1
ago,1
agree,1
agreed,1
agreement,2
agrees,2
ahead,27
ahora,4
aibabas,1
aim,3
aims,2
air,2
airbnb,3
aladdin,2
alert,1
ali,1
alianza,1
alibaba,1806
alibaba 2,
alibaba[,1
alibaba/,2
alibabaipo,6
alicloud,1
aliexpress,2
alikes,1
alipay,18
aliyun,1
all),1
allegations,1
alliance,1
alliances,2
allocation,1
allowed,1
allowing,2
allows,1
almost,2
alone,1
along,3
already,11
also,4
alternatives,1
although,1
alwaleed,2
always,2
amazing,2
amazon,74
ambitions,2
america,6
american,9
americans,1
ameritrade,3
amid,10
amidst,1
among,3
amount,1
analysis,4
analysts,6
android,1
angry,1
anniversary,1
announce,3
announced,3
announces,12
announcing,1
annual,1
another,5
answer,4
answers,1
ant,6
anticipated,3
antiquated,1
ap10things,2
apartment,2
app,16
appears,2
apple,44
applied,2
approach,2
approaches,1
appropriate,1
apps,1
arabian,1
architect,3
archrival,1
area,1
aren,6
arm,9
arnold,1
around,3
arrangement,1
arrived,1
arrives,1
ascent,1
asia,4
ask,1
asked,3
asking,2
askjack_mama,1
asks,2
ass,1
assets,1
assigned,1
assuming,1
astounding,1
attention,5
australia,2
authorities,1
automotive,1
average,2
avoid,13
avoids,1
await,1
awaited,4
awaiting,2
aware,1
away,5
awesome,1
b017,1
b2b,1
b2c,1
b5fe,1
baba,2
baby,2
"baby""",1
back,5
backed,2
backing,1
bad,3
baichuan,2
baidu,5
bail,2
bank,9
banker,3
bankers,2
banking,2
banks,3
banned,3
banner,1
bao,1
barclays,1
bargain,2
based,3
basically,1
battered,4
battle,4
battleground,1
bbc,1
bbcgofigure,1
bear,2
bears,1
beast,1
beast!!,1
beat,7
beating,4
beats,4
became,2
become,18
becomes,1
becoming,1
beef,1
beefs,2
begin,6
beginning,3
begins,14
begun,1
behemoths,1
behind,12
beijing,2
believers,1
bell,1
belong,1
best,11
bet,9
better,2
betting,4
beyond,1
bezos,1
bf43,1
bid,1
big,41
big!,1
bigcommerce,2
bigdata,1
bigger,17
biggest,77
bill,5
billion,162
billionaire,6
billionaires,1
billionaires!,1
billions,11
billoinaires,1
biometric,1
bird,4
bitcoin,1
bits,6
bizarre,4
bizdaily,1
black,5
blaming,1
blast,2
blasts,1
bln,1
block,6
blockbuster,7
blog,12
blog/,1
blogger,1
blogging,1
bloomberg,1
blowing,1
blows,1
bluetooth,1
bmg,3
bold,1
bolsa,1
bonanza,10
bond,11
bonds,4
bonuses,1
book,1
books,8
boom,3
booming,1
boost,9
boosts,5
boquiabierto,1
boston,2
bought,4
bounce,2
