date2,price,count
19-Sep-14,93.89,285
22-Sep-14,89.89,54
23-Sep-14,87.17,19
24-Sep-14,90.57,9
25-Sep-14,88.92,8
26-Sep-14,90.46,4
29-Sep-14,88.75,5
30-Sep-14,88.85,8
1-Oct-14,86.1,4
2-Oct-14,87.06,5
3-Oct-14,88.1,9
6-Oct-14,88.31,2
7-Oct-14,87.67,4
8-Oct-14,88.3,1
9-Oct-14,88.79,11
10-Oct-14,85.88,2
13-Oct-14,85.12,1
14-Oct-14,84.95,1
15-Oct-14,85.6,6
16-Oct-14,88.85,4
17-Oct-14,87.91,1
20-Oct-14,88.26,1
21-Oct-14,90.9,9
22-Oct-14,91.63,5
23-Oct-14,94.45,2
24-Oct-14,95.76,2
27-Oct-14,97.79,11
28-Oct-14,99.68,20
29-Oct-14,98.31,8
30-Oct-14,98.73,2
31-Oct-14,98.6,1
3-Nov-14,101.8,12
4-Nov-14,106.07,38
5-Nov-14,108.67,4
6-Nov-14,111.57,4
7-Nov-14,114.56,4
10-Nov-14,119.15,23
11-Nov-14,114.54,57
12-Nov-14,118.2,10
13-Nov-14,114.84,15
14-Nov-14,115.1,9
17-Nov-14,114.25,8
18-Nov-14,110.81,4
19-Nov-14,108.82,1
20-Nov-14,109.82,12
21-Nov-14,110.73,10
24-Nov-14,113.92,2
25-Nov-14,113.47,5
26-Nov-14,112.67,5
28-Nov-14,111.64,5
1-Dec-14,105.99,4
2-Dec-14,109.89,1
3-Dec-14,110.64,2
4-Dec-14,109.17,2
5-Dec-14,107.9,2
8-Dec-14,105.07,6
9-Dec-14,107.48,2
10-Dec-14,103.88,2
11-Dec-14,104.97,2
12-Dec-14,105.11,1
15-Dec-14,104.7,1
16-Dec-14,105.77,6
17-Dec-14,109.02,3
18-Dec-14,109.25,6
19-Dec-14,110.65,3
22-Dec-14,108.77,12
23-Dec-14,105.52,15
24-Dec-14,105.95,6
26-Dec-14,105.95,5
29-Dec-14,105.98,3
30-Dec-14,105.75,4
31-Dec-14,103.94,3
2-Jan-15,103.6,3
5-Jan-15,101,2
6-Jan-15,103.32,2
7-Jan-15,102.13,2
8-Jan-15,105.03,2
9-Jan-15,103.02,1
12-Jan-15,101.62,7
13-Jan-15,100.77,7
14-Jan-15,99.58,1
15-Jan-15,96.31,1
16-Jan-15,96.89,5
20-Jan-15,100.04,5
21-Jan-15,103.29,5
22-Jan-15,104,5
23-Jan-15,103.11,10
26-Jan-15,103.99,4
27-Jan-15,102.94,62
28-Jan-15,98.45,40
29-Jan-15,89.81,58
30-Jan-15,89.08,11
2-Feb-15,90.13,12
3-Feb-15,90.61,9
4-Feb-15,90,20
5-Feb-15,87,10
6-Feb-15,85.68,1
9-Feb-15,86,16
10-Feb-15,87.26,5
11-Feb-15,86,2
12-Feb-15,87.1,6
13-Feb-15,89.05,13
17-Feb-15,86.85,6
18-Feb-15,86.74,4
19-Feb-15,86.89,4
20-Feb-15,86.64,4
23-Feb-15,85.47,1
24-Feb-15,84.69,1
25-Feb-15,86.19,1
26-Feb-15,85.37,1
27-Feb-15,85.12,1
2-Mar-15,84,4
3-Mar-15,81.58,11
4-Mar-15,85.49,15
5-Mar-15,86.1,8
6-Mar-15,84.4,8
9-Mar-15,82.53,3
10-Mar-15,82.97,3
11-Mar-15,81.99,20
12-Mar-15,81.92,29
13-Mar-15,81.86,3
16-Mar-15,84,7
17-Mar-15,84.5,10
18-Mar-15,84.59,14
19-Mar-15,85.74,3
20-Mar-15,85.2,3
23-Mar-15,84.25,5
24-Mar-15,83.63,1
25-Mar-15,83.75,2
26-Mar-15,84.17,2
27-Mar-15,84.58,2
30-Mar-15,83.9,3
31-Mar-15,83.24,3
1-Apr-15,82.36,2
2-Apr-15,82.28,2
6-Apr-15,81.82,2
7-Apr-15,82.21,2
8-Apr-15,85.39,1
9-Apr-15,86.14,2
