Date,Sum_of_negative_attitude,Sum_of_positive_attitude
19-Sep-14,6.41,48.4
22-Sep-14,0.24,12.3
23-Sep-14,0.83,5.24
24-Sep-14,1.48,0
25-Sep-14,1.63,0.52
26-Sep-14,0,2.57
29-Sep-14,0,0.76
30-Sep-14,0,1.09
1-Oct-14,0,0.6
2-Oct-14,0,0.69
3-Oct-14,0,1.53
6-Oct-14,0,0
7-Oct-14,0.5,0
8-Oct-14,0,0
9-Oct-14,0.53,1.98
10-Oct-14,0.77,0
13-Oct-14,0.77,0
14-Oct-14,0.77,0
15-Oct-14,0,0
16-Oct-14,0,1.43
17-Oct-14,0,0
20-Oct-14,0,0
21-Oct-14,0,3.02
22-Oct-14,0,1.56
23-Oct-14,0,0.9
24-Oct-14,0,0.61
27-Oct-14,1.04,2.61
28-Oct-14,0,3.42
29-Oct-14,0,2.11
30-Oct-14,0,0.22
31-Oct-14,0,0
3-Nov-14,0.37,1.18
4-Nov-14,0.2,6.39
5-Nov-14,0,0
6-Nov-14,0,0
7-Nov-14,0,0
10-Nov-14,1.73,1.81
11-Nov-14,1.98,8.35
12-Nov-14,0,2.33
13-Nov-14,1.5,0.9
14-Nov-14,1.26,0.55
17-Nov-14,0,1.65
18-Nov-14,0,0.82
19-Nov-14,0,0
20-Nov-14,0.58,0.39
21-Nov-14,0,1.21
24-Nov-14,0.2,0
25-Nov-14,0,2.47
26-Nov-14,0,2.47
28-Nov-14,0,2.47
1-Dec-14,1.2,0
2-Dec-14,0,0
3-Dec-14,0,0.24
4-Dec-14,0,0.24
5-Dec-14,0,0.24
8-Dec-14,1.16,0
9-Dec-14,0,0.21
10-Dec-14,0,0.21
11-Dec-14,0,0.21
12-Dec-14,0,0
15-Dec-14,0,0
16-Dec-14,0,1.73
17-Dec-14,0,1.25
18-Dec-14,2,0.82
19-Dec-14,0,0
22-Dec-14,0,3.59
23-Dec-14,5.24,2.18
24-Dec-14,2.07,1.7
26-Dec-14,0,1.7
29-Dec-14,0,0.55
30-Dec-14,0,1.34
31-Dec-14,0,1
2-Jan-15,0,1
5-Jan-15,0,0
6-Jan-15,0,0
7-Jan-15,0,0
8-Jan-15,0.44,0
9-Jan-15,0.22,0
12-Jan-15,0,0
13-Jan-15,1.31,1.96
14-Jan-15,0,0
15-Jan-15,0,0
16-Jan-15,0,0
20-Jan-15,0.22,0.2
21-Jan-15,0.22,0.2
22-Jan-15,0.22,0.2
23-Jan-15,0.92,0.37
26-Jan-15,0.48,0
27-Jan-15,1.63,6.52
28-Jan-15,18.31,1.63
29-Jan-15,14.18,2.73
30-Jan-15,0.63,1.66
2-Feb-15,0.47,2.39
3-Feb-15,0,1
4-Feb-15,1.59,0.6
5-Feb-15,0,0.64
6-Feb-15,0,0
9-Feb-15,0.42,0.24
10-Feb-15,2.11,0
11-Feb-15,0,0.52
12-Feb-15,0.8,0.55
13-Feb-15,2,0.71
17-Feb-15,0.73,0.59
18-Feb-15,0.51,0.78
19-Feb-15,0.27,0.47
20-Feb-15,0.27,0.47
23-Feb-15,0,0.22
24-Feb-15,0,0.22
25-Feb-15,0,0
26-Feb-15,0.55,0
27-Feb-15,0,0
2-Mar-15,1.36,1.57
3-Mar-15,1.06,0.55
4-Mar-15,0,0.26
5-Mar-15,0,0.18
6-Mar-15,0,0.53
9-Mar-15,0,0.79
10-Mar-15,0,0.79
11-Mar-15,0,0
12-Mar-15,0.24,2.76
13-Mar-15,0,0
16-Mar-15,0.23,0
17-Mar-15,1.31,2.27
18-Mar-15,0.28,0.82
19-Mar-15,0.27,1.04
20-Mar-15,0,0.94
23-Mar-15,0,0.25
24-Mar-15,0,0
25-Mar-15,0,0
26-Mar-15,0,0
27-Mar-15,0,0
30-Mar-15,0,0.27
31-Mar-15,0,0.21
1-Apr-15,0,0
2-Apr-15,1.6,0
6-Apr-15,0,0.22
7-Apr-15,0.28,0.58
8-Apr-15,0,0
9-Apr-15,0,0.2
