CountryId,Target1,Target2,Target3,Target4,Target5,Target6,Target7,Target8,Target9,Target10,Target11,Target12,Target13,Target14,Target15,Target16,Target18,Target19,Target20,Target21,Population2012,IsLDC2014,std_Target1,std_Target2,std_Target3,std_Target4,std_Target5,std_Target6,std_Target7,std_Target8,std_Target9,std_Target10,std_Target11,std_Target12,std_Target13,std_Target14,std_Target15,std_Target16,std_Target18,std_Target19,std_Target20,std_Target21,std_Population2012,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,IsLDC2014_pred
4,26.94,18.15,44.10230769,110.3541667,80.83333333,734.9,136.0959273,278.571875,1548.48375,47.41666667,2608.63,1604.459821,984.1227083,327.0272727,236.0666667,46.8,4705150.718,27.36666667,47.94579429,845.8457143,29824536,1,-0.259261536,1.518483443,-2.941535829,0.190823171,1.842650986,2.11106381,-0.305268323,-0.109659651,-0.200299392,-1.88146823,-0.194787453,-6.28E-11,-9.55E-12,0.076125788,-0.090406651,1.680899253,-0.095802374,-0.85237109,-1.42E-10,-0.283296151,-0.00251135,4.228465415,-0.308923007,-0.078993999,-0.848522955,-0.647470234,-0.791421429,0.796361892
8,15.75428571,4.5,89.17153846,63.88041667,42.4,36.15714286,13.21534,36.99615385,536.07,94.01666667,4013.919531,1604.459821,984.1227083,-2912378.87,5.14,27.58,721379.462,29.25555556,47.94579429,232.2214286,3162083,0,-0.302761079,-0.512888438,0.485573153,-0.190946278,-0.46718867,-0.727787695,-0.314852341,-0.559327646,-0.211227611,0.652515062,-1.42E-11,-6.28E-11,-9.55E-12,-9.47E-12,-0.651887769,-0.027084396,-0.251107763,-0.719454598,-1.42E-10,-0.287170308,-0.214955349,-1.429910777,-0.366692031,-0.190509733,-0.585860977,-0.188891669,-0.548248541,0.056536756
12,15.1125,2.975,90.36923077,185.8158333,47.26666667,111.1428571,437.6121083,60.89875,13550.36333,84.88333333,4013.919531,1604.459821,984.1227083,99.87,0.41,21.7515,8070135.428,29.32222222,46.6275,52339.39429,38481705,0,-0.305256886,-0.739836578,0.576646864,0.810720617,-0.174702469,-0.42313584,-0.2817517,-0.514835457,-0.07074844,0.155868837,-1.42E-11,-6.28E-11,-9.55E-12,0.076119851,-0.663388414,-0.545033548,0.035379922,-0.714763428,-0.086885387,0.041811776,0.066468184,-1.169857937,0.255946176,-0.210479812,-0.494896133,0.023678408,-0.474955435,0.070001286
16,93.60795213,7.946403509,82.78586219,14.56333333,50.17353434,215.2917163,4050.065155,28.32538462,90,81.25,4013.919531,1604.459821,984.1227083,98.82,273.2492287,22.21333333,2434.336,34,47.94579429,15038.30286,0,0,6.20E-12,2.80E-11,-2.01E-10,-0.596072952,7.45E-11,9.66E-11,-2.38E-11,-0.575467378,-0.216042589,-0.041702106,-1.42E-11,-6.28E-11,-9.55E-12,0.076119823,6.83E-11,-0.503992769,-0.27913549,-0.385599646,-1.42E-10,-0.193691134,-0.240150539,-0.354043176,-0.512002901,-0.033339104,-0.288773006,0.030398422,-0.290155902,0.185966545
20,93.60795213,5,82.78586219,26.80952381,33.4,215.2917163,4050.065155,31.82461538,106.384,100,4013.919531,1604.459821,984.1227083,-2912378.87,273.2492287,27.88478166,20940.848,4.5,47.94579429,31.85428571,78360,0,6.20E-12,-0.438479212,-2.01E-10,-0.495473767,-1.008087809,9.66E-11,-2.38E-11,-0.568953925,-0.215865737,0.977872716,-1.42E-11,-6.28E-11,-9.55E-12,-9.47E-12,6.83E-11,-2.28E-11,-0.278414023,-2.461442501,-1.42E-10,-0.28843534,-0.239526173,-0.936309763,-0.534595457,-0.267415669,-1.121686147,0.106920652,-1.116113384,0.149548169
24,45.51142857,9.9,56.54384615,100.4020833,120,808.9285714,9179.718824,1177.037778,3324.928889,52.55,2686.1,1604.459821,984.1227083,95.933,6.92,47.9,2866794.2,54.81666667,27.855,25031.14354,20820525,1,-0.187040072,0.290731207,-1.995468912,0.109069463,4.196563904,2.411826987,0.400085101,1.562740868,-0.181124049,-1.602331301,-0.184049321,-6.28E-11,-9.55E-12,0.076119748,-0.64755983,1.778650658,-0.167469811,1.079218279,-1.324132591,-0.130600673,-0.07425449,5.054681916,-0.73445103,0.511524993,-0.472281425,-0.580371715,0.260037272,0.904803096
28,2.1,7.946403509,86.00818182,12.32875,38.33333333,100,49.4,32.28461538,69.10444444,94.65,4013.919531,1604.459821,984.1227083,33.78333333,273.2492287,22.82842105,28343.93,82.93333333,47.94579429,68.17,89069,0,-0.355860521,2.80E-11,0.245028379,-0.614429458,-0.711594948,-0.468407024,-0.312030134,-0.568097683,-0.21626814,0.686954033,-1.42E-11,-6.28E-11,-9.55E-12,0.076118123,6.83E-11,-0.449333051,-0.278125417,3.05771935,-1.42E-10,-0.288206058,-0.239440845,-1.504024344,-0.414228679,0.204227651,1.191364966,-0.188067463,0.908128387,-0.034338634
31,16.08428571,4.075,87.61846154,56.78041667,54.03333333,55.18571429,122.5792857,54.81222222,3733.672222,87.83333333,4013.919531,1604.459821,984.1227083,10.18666667,2.05,26.104,2469631.752,30.36666667,44.848,3451.131429,9308959,0,-0.301477759,-0.57613628,0.367475645,-0.249270883,0.23197355,-0.650478442,-0.306322548,-0.526164894,-0.176711983,0.316281942,-1.42E-11,-6.28E-11,-9.55E-12,0.076117507,-0.659400875,-0.158249009,-0.182952996,-0.641268426,-0.204167656,-0.266847507,-0.165977601,-0.990815086,-0.378740342,-0.132018648,-0.693641594,-0.149175526,-0.532384497,0.119733796
32,2.584,2.566666667,93.74,116.75125,38.73333333,72.11428571,593.4575,38.46923077,27222.47714,98.16666667,3205.815,1604.459821,984.1227083,74.84,5.61,0.6,15159178.6,63.06666667,85.74,62031.96429,41086927,0,-0.353978319,-0.800604113,0.832963497,0.243373503,-0.687554986,-0.581701065,-0.269596607,-0.556585667,0.07683139,0.878180956,-0.112011525,-6.28E-11,-9.55E-12,0.076119196,-0.650744998,-2.424659778,0.31174283,1.659750603,2.490918916,0.103006458,0.087226356,-2.864971991,0.330405141,0.23876635,2.198043137,0.070380617,0.344833084,-0.277079133
36,4.28,5,97.49333333,69.8875,33.8,20.14285714,39.87251,29.54461538,63925.99,100,4013.919531,1375.78,668.0675,189.8172727,273.2492287,19.36590909,8040050.936,60.18333333,47.94579429,1724718.879,23050471,0,-0.347382832,-0.438479212,1.118370684,-0.141599692,-0.984047847,-0.792850513,-0.312773227,-0.573197907,0.473017253,0.977872716,-1.42E-11,-0.280101266,-0.50423541,0.076122201,6.83E-11,-0.757028879,0.034207093,1.456857487,-1.42E-10,10.60049032,-0.056486484,-2.644650663,2.293084306,2.253934821,2.572721889,0.758178714,1.107001364,-0.275972225
40,4.655,5,98.93666667,84.485,27.7,19.14285714,20.1,30.30230769,11252.12083,100,4013.919531,371.4325,56.7975,18.54666667,273.2492287,17.24368421,3243915.244,51.926,47.94579429,6805.528571,8463948,0,-0.345924514,-0.438479212,1.228123182,-0.021685127,-1.350657263,-0.796913311,-0.314315375,-0.571787542,-0.09555618,0.977872716,-1.42E-11,-1.510288545,-1.479457368,0.076117725,6.83E-11,-0.945620211,-0.15276793,0.875809135,-1.42E-10,-0.245669299,-0.172710571,-2.404688853,-0.615996819,-1.851808006,0.790063794,0.200398825,0.255887137,-0.164264287
