Country,IsLDC2014,Prin1,Prin2,Prin3,Prin4,Prin5,Prin6,predLDC,Population2012
Afghanistan,1,4.228465415,-0.308923007,-0.078993999,-0.848522955,-0.647470234,-0.791421429,0.796361892,29824536
Albania,0,-1.429910777,-0.366692031,-0.190509733,-0.585860977,-0.188891669,-0.548248541,0.056536756,3162083
Algeria,0,-1.169857937,0.255946176,-0.210479812,-0.494896133,0.023678408,-0.474955435,0.070001286,38481705
American Samoa,0,-0.354043176,-0.512002901,-0.033339104,-0.288773006,0.030398422,-0.290155902,0.185966545,0
Andorra,0,-0.936309763,-0.534595457,-0.267415669,-1.121686147,0.106920652,-1.116113384,0.149548169,78360
Angola,1,5.054681916,-0.73445103,0.511524993,-0.472281425,-0.580371715,0.260037272,0.904803096,20820525
Antigua and Barbuda,0,-1.504024344,-0.414228679,0.204227651,1.191364966,-0.188067463,0.908128387,-0.034338634,89069
Azerbaijan,0,-0.990815086,-0.378740342,-0.132018648,-0.693641594,-0.149175526,-0.532384497,0.119733796,9308959
Argentina,0,-2.864971991,0.330405141,0.23876635,2.198043137,0.070380617,0.344833084,-0.277079133,41086927
Australia,0,-2.644650663,2.293084306,2.253934821,2.572721889,0.758178714,1.107001364,-0.275972225,23050471
Austria,0,-2.404688853,-0.615996819,-1.851808006,0.790063794,0.200398825,0.255887137,-0.164264287,8463948
Bahamas,0,-1.693241851,-0.36409937,0.112200555,0.946777207,-0.163135642,0.688784812,-0.049177687,371960
Bahrain,0,-1.774532373,-0.356817975,-0.120494358,-0.014739856,-0.042531427,-0.260736705,-0.015508642,1317827
Bangladesh,1,1.630307034,1.732615733,-1.310284759,-1.206395008,-0.516035581,-0.670320871,0.408730257,154695368
Armenia,0,-1.459310638,-0.616941355,-0.057792221,-1.177531329,0.030610141,-0.349108563,0.091304393,2969081
Barbados,0,-1.95707054,-0.538159572,0.007228984,-0.021307992,0.014173906,-0.242177961,-0.031791617,283221
Belgium,0,-2.037155961,-0.523176537,-1.595727649,-0.098774754,0.190459849,-0.527177741,-0.069351118,11060095
Bermuda,0,-0.342856669,-0.637347476,-0.171792631,-1.116873214,0.030278604,-1.023445976,0.229719019,65216
Bhutan,1,0.251414982,-0.530267744,-0.147549848,-1.467171832,-0.295759233,-0.491758947,0.321605767,741822
Bolivia,0,0.777695572,-0.622833441,0.476200714,0.572610498,0.412990321,-0.102908529,0.299910921,10496285
Bosnia and Herzegovina,0,-1.551172189,-0.507945604,-0.09350744,-0.513888549,-0.178451207,-0.596481594,0.042580845,3833916
Botswana,0,-0.494073652,-0.382330196,0.346004029,2.262304206,-0.394738258,0.091497853,0.042867206,2003910
Brazil,0,-1.131683838,3.861041236,0.02960638,2.631144882,0.116009154,0.127574736,-0.165204998,198656019
Belize,0,-1.638187631,-0.785395844,0.22994092,0.422623607,-0.177428079,-0.283792605,-0.003197931,324060
Solomon Islands,1,0.175819547,-0.61909771,0.006668583,-0.543939841,-0.273420616,-0.59436247,0.270195552,549598
British Virgin Islands,0,0.157898916,-0.484025387,-0.114504524,-0.511902889,0.024397136,-0.561380771,0.260709267,28088
Brunei Darussalam,0,-1.061089997,-0.547413875,0.150820095,0.611439031,-0.199319307,0.23414982,0.054032065,412238
European Union (EU),0,-0.006700078,-0.203531481,-0.001373935,0.002244763,0.064967289,-0.036996517,0.208998863,0
Bulgaria,0,-1.737451113,-0.161387363,-0.228777856,-1.161804519,-0.027561721,-0.223746279,0.040644421,7277831
Myanmar,1,0.972574348,0.19019509,-0.343946659,-0.80623119,0.689917875,1.010702575,0.359577867,52797319
Burundi,1,3.721499908,-0.728630496,0.215318841,-0.311034929,-0.198974377,-0.227008258,0.719792778,9849569
Belarus,0,-2.060371252,-0.302429528,-0.05808703,-0.227611248,0.600290064,0.820608595,-0.041477388,9405097
Cambodia,1,0.9169054,-0.43893348,0.01845951,0.043249513,0.138065279,0.03351465,0.331394171,14864646
Cameroon,0,3.505221073,-0.722592636,0.538884932,1.148687468,0.177836006,-0.118504472,0.624129151,21699631
